model,illicit_f1,illicit_precision,illicit_recall,pr_auc,roc_auc,mcc
random_forest,0.7801488833746898,0.8433476394849786,0.7257617728531855,0.7888367273548963,0.9291620896998417,0.7685379384834374
xgboost,0.7536367902393243,0.7662213740458015,0.7414589104339797,0.799705855970843,0.9323059127628495,0.7369330046392466
graphsage,0.4502092050209205,0.41162968630451413,0.4967682363804247,0.37029834147143287,0.8328031723289544,0.4102484719565749
logistic_regression,0.24987775061124695,0.14400450894744257,0.9436749769159741,0.21203035671479428,0.8534544821871056,0.27611289194969824
