timestamp,experiment,model,resampling,split,n_features,accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,ks_statistic,gini
2026-06-14T13:46:26.157439+00:00,ieee_cis_fraud,logistic_regression,none,val,436,0.8143281290570212,0.09722976643128735,0.5196774193548387,0.16381107326249428,0.7277381051665509,0.19863299631833942,0.1624408340094648,0.3522796086359126,0.4554762103331018
2026-06-14T13:46:27.189378+00:00,ieee_cis_fraud,logistic_regression,none,test,436,0.8150619207279214,0.09599124034308656,0.5091965150048403,0.16153137475688403,0.7222423801092118,0.1923713318398628,0.15849327097272692,0.34356004093455317,0.44448476021842365
2026-06-14T13:48:52.846758+00:00,ieee_cis_fraud,random_forest,none,val,436,0.8897732019281788,0.20424285460678146,0.7422580645161291,0.32033969093693443,0.9004034286434525,0.5632201246522358,0.35155880095257797,0.6405132021415059,0.8008068572869049
2026-06-14T13:48:55.153009+00:00,ieee_cis_fraud,random_forest,none,test,436,0.8921439134803174,0.2099397861058686,0.7537915456598903,0.32841276535920144,0.9021808447995283,0.5744141086974509,0.36089891425804776,0.6537376357693143,0.8043616895990566
2026-06-14T13:51:08.296723+00:00,ieee_cis_fraud,xgboost,none,val,436,0.9239340264842347,0.29130335016062414,0.8190322580645162,0.42975626269465134,0.9490365789643502,0.6935922810565734,0.4607506840119065,0.7591902595973978,0.8980731579287005
2026-06-14T13:51:09.123393+00:00,ieee_cis_fraud,xgboost,none,test,436,0.9274223591966675,0.3039792794914057,0.8331719909648274,0.4454412145260071,0.9518180013237618,0.7154164810596189,0.47677198412499655,0.7703608757791052,0.9036360026475236
2026-06-14T13:54:59.741843+00:00,ieee_cis_fraud,logistic_regression,smote,val,436,0.9366681342500085,0.13239601640304627,0.14580645161290323,0.13877801657967453,0.6542977216970683,0.08269588182302637,0.10611556132717959,0.29155652397382403,0.3085954433941367
2026-06-14T13:55:00.478788+00:00,ieee_cis_fraud,logistic_regression,smote,test,436,0.9364197739921654,0.12607026867434307,0.1377863827040981,0.131668208448967,0.6540135421288777,0.08220302205052556,0.09884256997867877,0.296788884841457,0.3080270842577555
2026-06-14T13:58:31.070798+00:00,ieee_cis_fraud,random_forest,smote,val,436,0.9745543626737111,0.8238897396630934,0.3470967741935484,0.48842487517022243,0.8733409272990679,0.5143361229051752,0.5251338142240215,0.5977949825484705,0.7466818545981357
2026-06-14T13:58:32.879805+00:00,ieee_cis_fraud,random_forest,smote,test,436,0.9744753389553065,0.8169440242057489,0.34849951597289447,0.488577244967202,0.875458504162932,0.5239527112544756,0.5238260599865162,0.6034769569191755,0.750917008325864
2026-06-14T14:01:56.752198+00:00,ieee_cis_fraud,xgboost,smote,val,436,0.9792844966753593,0.908327953518399,0.45387096774193547,0.6052914605291461,0.9297960346592773,0.6782404366535352,0.6340016727970519,0.7176808730557366,0.8595920693185546
2026-06-14T14:01:57.744439+00:00,ieee_cis_fraud,xgboost,smote,test,436,0.9794312550095393,0.9138042773817239,0.45498547918683446,0.6074967686342094,0.9356924240598227,0.6977911653901674,0.6368256898388901,0.7344219113241868,0.8713848481196453
2026-06-14T15:38:00.739879+00:00,ieee_cis_fraud,hetero_sage,none,val,436,0.9031394994411894,0.13641188959660297,0.33161290322580644,0.19330575404287326,0.630144216164241,0.06951087202796039,0.16828187284910145,0.2598383492879572,0.260288432328482
2026-06-14T15:38:01.234131+00:00,ieee_cis_fraud,hetero_sage,none,test,436,0.9025524661044694,0.13333333333333333,0.324620845434011,0.18902668169860953,0.6271594957475125,0.06779593671405203,0.1633241457416834,0.2541987349770799,0.254318991495025
2026-06-14T16:40:15.522059+00:00,ieee_cis_fraud,hetero_sage,none,val,436,0.7382621555412561,0.07947740881872618,0.6122580645161291,0.14069159779103813,0.7334336058833675,0.13792949038484842,0.1470535294921232,0.35850765931384115,0.46686721176673496
2026-06-14T16:40:15.712383+00:00,ieee_cis_fraud,hetero_sage,none,test,436,0.7416150190221379,0.0805460172114121,0.6131010003226848,0.14238609112709832,0.7337268700232055,0.13734404445797285,0.14938650119127173,0.3627870185835107,0.46745374004641094
