timestamp,experiment,model,feature_set,resampling,split,n_features,n_folds,accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,ks_statistic,gini
2026-06-27T13:34:04.556295+00:00,german_credit,logistic_regression,full,none,val,9,1,0.7266666666666667,0.53125,0.7555555555555555,0.6238532110091743,0.8002116402116403,0.6718959779109737,0.43532424493488586,0.5142857142857142,0.6004232804232805
2026-06-27T13:34:04.585840+00:00,german_credit,logistic_regression,full,none,test,9,1,0.7333333333333333,0.5409836065573771,0.7333333333333333,0.6226415094339622,0.772063492063492,0.6471471763534387,0.4353592402589336,0.5047619047619047,0.544126984126984
2026-06-27T13:34:05.808743+00:00,german_credit,random_forest,full,none,val,9,1,0.7333333333333333,0.5423728813559322,0.7111111111111111,0.6153846153846154,0.8059259259259259,0.6476437479430877,0.4258725892084778,0.5015873015873016,0.6118518518518519
2026-06-27T13:34:05.925768+00:00,german_credit,random_forest,full,none,test,9,1,0.72,0.5306122448979592,0.5777777777777777,0.5531914893617021,0.7892063492063492,0.6434369465128164,0.35051779354284324,0.4253968253968254,0.5784126984126985
2026-06-27T13:34:07.080613+00:00,german_credit,xgboost,full,none,val,9,1,0.7466666666666667,0.5660377358490566,0.6666666666666666,0.6122448979591837,0.7807407407407407,0.5936718795223148,0.4291268249407578,0.4666666666666666,0.5614814814814815
2026-06-27T13:34:07.106141+00:00,german_credit,xgboost,full,none,test,9,1,0.7733333333333333,0.6341463414634146,0.5777777777777777,0.6046511627906976,0.7820105820105819,0.6764581538474203,0.44720406490590053,0.4476190476190476,0.5640211640211639
2026-06-27T13:35:01.157733+00:00,german_credit,logistic_regression,full,none,val,9,1,0.7266666666666667,0.53125,0.7555555555555555,0.6238532110091743,0.8002116402116403,0.6718959779109737,0.43532424493488586,0.5142857142857142,0.6004232804232805
2026-06-27T13:35:01.180842+00:00,german_credit,logistic_regression,full,none,test,9,1,0.7333333333333333,0.5409836065573771,0.7333333333333333,0.6226415094339622,0.772063492063492,0.6471471763534387,0.4353592402589336,0.5047619047619047,0.544126984126984
2026-06-27T13:35:02.149152+00:00,german_credit,random_forest,full,none,val,9,1,0.7333333333333333,0.5423728813559322,0.7111111111111111,0.6153846153846154,0.8059259259259259,0.6476437479430877,0.4258725892084778,0.5015873015873016,0.6118518518518519
2026-06-27T13:35:02.263572+00:00,german_credit,random_forest,full,none,test,9,1,0.72,0.5306122448979592,0.5777777777777777,0.5531914893617021,0.7892063492063492,0.6434369465128164,0.35051779354284324,0.4253968253968254,0.5784126984126985
2026-06-27T13:35:02.492736+00:00,german_credit,xgboost,full,none,val,9,1,0.7466666666666667,0.5660377358490566,0.6666666666666666,0.6122448979591837,0.7807407407407407,0.5936718795223148,0.4291268249407578,0.4666666666666666,0.5614814814814815
2026-06-27T13:35:02.516382+00:00,german_credit,xgboost,full,none,test,9,1,0.7733333333333333,0.6341463414634146,0.5777777777777777,0.6046511627906976,0.7820105820105819,0.6764581538474203,0.44720406490590053,0.4476190476190476,0.5640211640211639
2026-06-27T13:35:03.120203+00:00,german_credit,logistic_regression,full,none,cv_mean,9,5,0.689,0.48821881314835724,0.7266666666666668,0.5837906118072708,0.7648333333333334,0.605233825512521,0.3685508975972595,0.43809523809523815,0.5296666666666667
2026-06-27T13:35:03.125136+00:00,german_credit,logistic_regression,full,none,cv_std,9,5,0.017435595774162666,0.019390833240536243,0.024944382578492935,0.018421851555110957,0.011328080014962685,0.033550937258327654,0.030473914309614082,0.03697765458727083,0.02265616002992537
2026-06-27T13:35:08.487621+00:00,german_credit,random_forest,full,none,cv_mean,9,5,0.7140000000000001,0.5183450273286957,0.6666666666666666,0.5830705330549322,0.7635,0.609244458838835,0.3775594058704816,0.42476190476190484,0.5269999999999999
2026-06-27T13:35:08.492054+00:00,german_credit,random_forest,full,none,cv_std,9,5,0.018814887722226756,0.024327709410868047,0.033333333333333326,0.02649102241147075,0.019819565907046605,0.027742252118593897,0.040966732933572524,0.03128393848696543,0.03963913181409321
2026-06-27T13:35:09.664177+00:00,german_credit,xgboost,full,none,cv_mean,9,5,0.7249999999999999,0.5372674332891051,0.6233333333333333,0.5765587804710831,0.7513809523809523,0.5846778230683798,0.37748121717286937,0.4219047619047619,0.5027619047619046
2026-06-27T13:35:09.666928+00:00,german_credit,xgboost,full,none,cv_std,9,5,0.0268328157299975,0.03980290342558358,0.038873012632301994,0.0356721187305988,0.012697108067901983,0.018855927020098997,0.05482764884117545,0.0504941567307107,0.025394216135803966
