model,feature_set,split,auc,gini,ks_decile,ks_continuous,ks_peak_band
random_forest,full,test,1.0,1.0,0.9011638479723587,1.0,1
xgboost,full,test,0.9999927032660256,0.9999854065320513,0.9011638479723587,0.9997901716395988,1
logistic_regression,full,test,0.9978297320359514,0.9956594640719028,0.8957514482882732,0.9766262926655725,1
hetero_sage,full,test,0.9559621310848806,0.9119242621697612,0.7929158542906497,0.8037208806439576,1
xgboost,no_leakage,test,0.9997534989351684,0.9995069978703368,0.9011638479723587,0.9909983633387889,1
random_forest,no_leakage,test,0.9987381187053853,0.9974762374107706,0.9011638479723587,0.9720438681158812,1
logistic_regression,no_leakage,test,0.9947871451963105,0.989574290392621,0.8957514482882732,0.9433988186852345,1
