band,min_score,max_score,n,n_bad,n_good,bad_rate,cum_bad_pct,cum_good_pct,ks
1,0.6753409504890442,0.9698362350463867,30,21,9,0.7,0.4666666666666667,0.08571428571428572,38.095238095238095
2,0.37157976627349854,0.6474285125732422,30,9,21,0.3,0.6666666666666666,0.2857142857142857,38.095238095238095
3,0.20363152027130127,0.35782068967819214,30,8,22,0.26666666666666666,0.8444444444444444,0.49523809523809526,34.92063492063492
4,0.07000826299190521,0.19770246744155884,30,4,26,0.13333333333333333,0.9333333333333333,0.7428571428571429,19.047619047619047
5,0.0026108589954674244,0.06405507028102875,30,3,27,0.1,1.0,1.0,0.0
