band,min_score,max_score,n,n_bad,n_good,bad_rate,cum_bad_pct,cum_good_pct,ks
1,0.6385109150705863,0.8755441564647632,30,21,9,0.7,0.4666666666666667,0.08571428571428572,38.095238095238095
2,0.4589202276329521,0.6382512651841802,30,9,21,0.3,0.6666666666666666,0.2857142857142857,38.095238095238095
3,0.27947511385278306,0.4448999591869043,30,9,21,0.3,0.8666666666666667,0.4857142857142857,38.0952380952381
4,0.17522285917688044,0.2738510130939835,30,5,25,0.16666666666666666,0.9777777777777777,0.7238095238095238,25.396825396825395
5,0.02427542985045383,0.17190032841416664,30,1,29,0.03333333333333333,1.0,1.0,0.0
