band,min_score,max_score,n,n_bad,n_good,bad_rate,cum_bad_pct,cum_good_pct,ks
1,0.7255896064288941,0.9446319265918919,30,21,9,0.7,0.4666666666666667,0.08571428571428572,38.095238095238095
2,0.5070309531214761,0.7207178224291767,30,12,18,0.4,0.7333333333333333,0.2571428571428571,47.61904761904761
3,0.3487598332085188,0.5027960339478739,30,3,27,0.1,0.8,0.5142857142857142,28.57142857142858
4,0.2353083230523708,0.337660210420461,30,6,24,0.2,0.9333333333333333,0.7428571428571429,19.047619047619047
5,0.04310795855949278,0.2308328135686368,30,3,27,0.1,1.0,1.0,0.0
